country,mig_ext_medio_group/1,mig_ext_medio_group/2,mig_ext_medio_group/3,mig_ext_cost_total,mig_ext_cost_currency
SLV,0,1,1,300,1
SLV,0,1,0,7000,1
SLV,0,1,0,,
SLV,0,1,0,7000,1
SLV,0,1,0,7000,1
SLV,0,1,0,9000,1
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,7000,1
SLV,0,1,0,7000,1
SLV,0,1,0,,
SLV,0,0,1,300,1
SLV,0,1,0,,
SLV,0,0,1,,
HND,0,0,1,,
HND,1,0,0,,
HND,0,0,1,,
HND,0,0,1,,
HND,1,0,0,,
HND,0,0,1,,
HND,0,0,1,,
SLV,0,1,0,12000,1
SLV,0,1,0,10000,1
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
GT,1,0,0,1820,3
GT,1,1,0,13000,3
GT,1,0,0,,
GT,1,0,0,,
GT,1,0,0,,
GT,1,0,0,,
GT,0,0,0,,
GT,0,1,0,13000,3
GT,0,1,0,6500,3
GT,0,1,0,,
GT,0,1,0,,
GT,1,0,0,,
GT,0,0,0,,
GT,0,1,0,11050,3
GT,0,1,0,15000,
GT,0,1,0,1950,3
GT,0,1,0,11050,3
GT,0,1,0,3250,3
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,7.8,3
GT,0,1,0,9750,3
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,0,1,,
GT,0,0,0,,
GT,0,1,0,,
GT,0,0,1,1040,3
GT,0,0,1,1625,3
GT,0,1,0,9750,3
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,,
GT,0,1,0,11050,3
HND,1,0,0,1640,2
HND,1,0,0,1640,2
HND,0,0,1,,
HND,0,0,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,0,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,1,0,0,,
HND,0,0,1,,
HND,0,0,0,,
SLV,0,0,0,,
SLV,0,0,0,,
SLV,0,0,0,,
HND,0,1,0,6000,1
HND,0,1,0,6000,1
HND,0,1,0,6000,1
SLV,0,1,0,6000,1
SLV,1,0,0,,
HND,0,1,0,,
HND,0,0,1,,
HND,0,0,1,615,2
HND,0,0,1,,
HND,0,0,1,,2
SLV,1,0,0,,
SLV,1,0,0,,
SLV,0,1,0,,
SLV,1,0,0,2000,1
SLV,1,0,0,1500,1
SLV,0,1,0,12000,1
SLV,0,1,0,1500,1
SLV,0,1,0,1500,1
SLV,0,1,0,1500,1
SLV,0,1,0,1500,1
SLV,0,1,0,,
SLV,0,0,1,,
SLV,0,0,1,500,1
SLV,0,0,1,500,1
SLV,1,0,0,250,1
HND,0,0,1,,
HND,0,0,1,,
HND,0,1,0,4500,1
HND,0,1,0,5000,1
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,7000,1
HND,0,0,1,,
HND,0,0,1,,
SLV,0,0,1,,
SLV,0,1,0,9000,1
SLV,0,0,1,,
SLV,1,0,0,,
SLV,1,0,0,,
SLV,1,0,0,,
SLV,1,0,0,,
SLV,1,0,0,,
SLV,0,0,1,,
HND,1,0,0,1640,2
SLV,0,0,1,25,1
HND,1,0,0,12.3,2
GT,0,1,0,,
GT,0,1,0,,
HND,0,0,1,6000,1
HND,0,1,0,,
HND,0,0,1,,
HND,0,0,0,,
HND,0,0,1,,
HND,0,1,0,7380,2
HND,0,1,0,,
HND,0,1,0,,
HND,1,0,0,3895,2
HND,0,0,1,10250,2
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,1,0,,
HND,0,0,0,,
HND,0,1,0,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,0,,
HND,0,0,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,1,0,,
HND,0,0,0,,
HND,0,0,1,2050,2
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,0,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,0,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,1,0,6000,1
HND,1,0,0,1886,2
HND,0,0,1,,
HND,0,0,1,,
GT,0,1,0,11050,3
GT,0,1,0,11050,3
HND,1,0,0,,
HND,1,0,0,828.2,2
HND,1,0,0,,
HND,1,0,0,164,2
HND,1,0,0,,
HND,0,0,1,82,2
HND,0,0,1,82,2
GT,0,1,0,6500,3
GT,0,1,0,,
HND,1,0,0,,
HND,0,1,0,,
HND,1,0,0,1435,2
HND,1,0,0,,
HND,1,0,0,,
HND,0,0,1,,
HND,0,1,0,,
GT,0,1,0,8840,3
GT,0,1,0,10400,3
GT,0,1,0,12350,3
GT,0,1,0,4940,3
GT,0,1,0,,
GT,0,1,0,,
HND,1,0,0,1435,2
HND,1,0,0,1435,2
GT,0,1,0,,
GT,0,0,0,,
HND,0,1,0,12300,2
GT,0,0,0,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,0,1,,
GT,1,0,0,,
GT,0,1,0,6500,3
HND,0,1,0,,
HND,0,1,0,,
GT,1,0,0,,
GT,0,1,0,3900,3
GT,0,1,0,5720,3
GT,0,1,0,11050,3
GT,0,1,0,2600,3
GT,0,1,0,2600,3
GT,0,1,0,16250,3
GT,0,1,0,9100,3
GT,0,1,0,9100,3
GT,0,1,0,4810,3
GT,0,1,0,6500,3
GT,0,1,0,7800,3
GT,0,1,0,7800,3
GT,0,1,0,7800,3
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
HND,1,0,0,,
GT,0,0,1,39,3
GT,0,1,0,13000,3
GT,0,0,1,1950,3
HND,1,0,0,1435,2
HND,0,0,1,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,1,0,,
HND,0,1,0,,
HND,0,0,0,,
HND,0,1,0,,
HND,0,0,0,,
SLV,0,0,1,100,1
GT,0,1,0,2340,3
GT,0,1,0,3250,3
GT,0,1,0,6500,3
GT,0,1,0,6500,3
GT,0,1,0,6500,3
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
HND,0,0,1,,
SLV,1,0,0,,
SLV,0,0,1,,
HND,0,1,0,12000,1
SLV,0,1,0,700,1
SLV,0,0,1,120,1
SLV,1,0,0,,
SLV,1,0,0,,
SLV,0,0,1,,
SLV,0,1,0,8000,1
SLV,0,0,1,,
SLV,1,0,0,800,1
SLV,0,1,0,7000,1
SLV,1,0,0,1500,1
HND,0,0,1,,
HND,0,0,1,,
HND,1,0,0,1230,2
SLV,1,0,0,900,1
SLV,1,0,0,1500,1
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,1,0,,
SLV,0,0,0,,
SLV,0,0,0,,
HND,0,0,1,,
HND,0,0,1,,
SLV,0,0,0,,
SLV,0,0,1,,
SLV,0,0,1,,
SLV,0,0,1,200,1
SLV,0,0,1,,
HND,0,1,0,14,1
